symbol	app	base	status
fopen	89	12	shim
remove	63	1	shim
mkdir	51	1	shim
open64	46	2	shim
unlink	38	8	shim
open	34	14	shim
__open64_2	34	1	shim
getpwuid	31	3	boundary-nss
access	30	9	shim
stat	28	12	shim
opendir	28	8	shim
rename	25	8	shim
stat64	24	3	shim
chdir	21	3	shim
link	21	2	shim
getgrgid	17	1	boundary-nss
lstat64	16	3	shim
freopen	16	0	shim
execvp	15	2	shim
chmod	14	4	shim
rmdir	14	1	shim
readlink	13	7	shim
syscall	12	0	boundary-syscall
chown	10	4	shim
fopen64	10	4	shim
bind	10	2	shim
connect	9	3	shim
dlopen	8	5	shim
fstatat64	8	0	shim
getaddrinfo	8	0	boundary-nss
symlink	7	2	shim
utimensat	7	0	shim
realpath	6	1	shim
sendto	6	0	shim
mkstemp	5	0	shim
lstat	4	5	shim
execl	4	2	shim
execlp	4	2	shim
utime	4	0	shim
getpwnam	3	2	boundary-nss
lchown	3	2	shim
creat	3	0	shim
gethostbyname	3	0	boundary-nss
statx	3	0	shim
execve	2	3	shim
mkfifo	2	1	shim
sendmsg	2	1	shim
utimes	2	1	shim
lutimes	2	0	shim
mkdtemp	2	0	shim
mknod	2	0	shim
execv	1	5	shim
chroot	1	1	out-of-scope
faccessat	1	1	shim
scandir64	1	1	shim
statvfs64	1	1	shim
__fxstat	1	0	fd-based
__lxstat	1	0	shim
__xstat	1	0	shim
creat64	1	0	shim
eaccess	1	0	shim
execvpe	1	0	shim
fstatat	1	0	shim
getservbyname	1	0	boundary-nss
glob	1	0	verify-indirect
glob64	1	0	verify-indirect
inotify_add_watch	1	0	shim
linkat	1	0	shim
openat	1	0	shim
openat64	1	0	shim
posix_spawnp	1	0	shim
renameat	1	0	shim
renameat2	1	0	shim
setmntent	1	0	shim
statfs	1	0	shim
truncate	1	0	shim
truncate64	1	0	shim
unlinkat	1	0	shim
freopen64	0	2	shim
getxattr	0	1	shim
lgetxattr	0	1	shim
lsetxattr	0	1	shim
mkstemps	0	1	shim
mount	0	1	out-of-scope
removexattr	0	1	shim
setxattr	0	1	shim
statfs64	0	1	shim
statvfs	0	1	shim
umount2	0	1	out-of-scope
